         100   2.9199999999999712E-004                       NaN
         300   1.4429999999999998E-003                       NaN
         500   6.8110000000000115E-003                       NaN
         700   1.7818000000000112E-002                       NaN
         900   3.7139000000000699E-002                       NaN
        1100   6.8583000000000283E-002                       NaN
        1300  0.11096400000000273                            NaN
        1500  0.16782800000000009                            NaN
        1700  0.24745300000000725                            NaN
        1900  0.34385000000000332                            NaN
