         100   6.9569999999999979E-003                       NaN
         300   6.8188000000000012E-002                       NaN
         500  0.31240200000000007                            NaN
         700  0.86216000000000004                            NaN
         900   1.8192839999999997                            NaN
        1100   3.3459229999999991                            NaN
        1300   5.5857279999999996                            NaN
        1500   8.5166030000000035                            NaN
        1700   12.488022000000001                            NaN
        1900   17.393124999999998                            NaN
