         100   8.5460000000000015E-003                       NaN
         300   9.7432999999999992E-002                       NaN
         500  0.32954100000000003                            NaN
         700  0.90657900000000002                            NaN
         900   1.9776090000000002                            NaN
        1100   4.1521189999999999                            NaN
        1300   8.6356940000000009                            NaN
        1500   16.232611999999996                            NaN
        1700   26.047870000000003                            NaN
        1900   54.606156000000013                            NaN
